ProfitLoss	Revenue	Assets	Equity	SuoShuZhengJianHuiHangYeDaLei
18594516.59	120415482.3	176447301.7	85700756.02	仪器仪表制造业（C40）
674955.51	11423664.34	21369604.26	18564500.42	信息传输、软件和信息技术服务业
-69969.7	10291948.23	12706728.58	6291592.98	计算机、通讯和其它电子设备制造业
8113186.99	119361905	159344641.9	55688546.17	C36 汽车制造业
4986370.74	36430360.81	82182396.91	58018057.71	矿山信息化设备制造业
8795481.95	100260818	118502913.5	60163005.74	计算机、通信和其他电子设备制造业
5517776.97	46345064.03	98736573.85	51502157.02	根据国民经济行业分类标准，公司业务所属行业为信息系统集成服务行业，行业代码为I6520；根据《上市公司行业分类指引》（2012）公司业务所属行业为软件和信息技术服务业，行业代码为I65。
5117665	73790509.7	33176900.67	17034451.65	互联网和相关服务
5110649.5	43374175.22	82010166.42	63828883.88	仪器仪表制造业（C40）
15971525.02	76263935.92	213297363.1	135082448.1	专用设备制造业
4385765.07	41092345.82	67563380.91	24844168.16	非金属矿物制品业（C30）
3217492.82	53306170.27	63904845.72	17128873.47	石油加工、炼焦和核燃料加工业
-5007716.08	2674111.51	29723676.36	28513702.7	软件和信息技术服务业
54124.66	16921830.77	25059325.11	7607529.37	R86广播、电视、电影和影视录音制作业
25241801.69	69285503.23	141844627.6	118390843.3	专用设备制造业
-1942244.14	22893446	45044187.81	15742934.15	专业技术服务业（M74）
-3391804.86	21311092.36	116823772.3	110278937.2	软件和信息技术服务业
4835467.11	117224952.1	91035416.28	31282979.12	L72商务服务业
3259430.97	32413298.33	35290017.63	24038172.39	软件和信息技术服务业（I65）
31804.98	42225002.4	40393520.9	20893136.31	（I65）软件和信息技术服务业
-3477161.08	11593741.1	60237660.31	26577013.23	专业技术服务业
2626731.69	194227440	229012858.2	142246566.7	互联网和相关服务行业
4795433.7	52921438.15	38006414.09	22917839.31	C26化学原料和化学制品制造业
106318.98	10333279.05	10897953.52	9030865.49	信息传输、软件和信息技术服务业（I）——软件和信息技术服务业（I65）
2685383.94	6618188.39	13246357.92	10211724.5	软件和信息技术服务业
-3320598.93	122809353	59965108.38	7516546.91	电信、广播电视和卫星传输服务
25954114.52	244161334.7	558865990.9	297680345	R85 新闻和出版业
1649502.22	51356488.16	68550027.51	30794547.78	M7461环境保护监测
9894611.22	127843144.2	231132184.9	93117724.11	N7721 水污染治理业（《国民经济行业分类》GB/T4754-2011）、N77 生态保护和环境治理业（《上市公司行业分类指引》2012年版）
810794.49	8653490.43	21790461.16	13600564.45	B11-开采辅助活动
3498955.36	41605233.12	18675546.99	11571060.98	广告业
1410802.63	44458265.45	118809044.4	89330409.03	C27医药制造业
14888022.68	145130057.5	313691291.7	127529551.8	电器机械和器材制造业
28527364.58	144010611.7	240679749	145910428.7	“I信息传输、软件和信息技术服务业”中的“I65软件和信息技术服务业”
1890866.05	17765467.14	16278589.3	13596611.63	制造业-电气机械和器材制造业（证监会《上市公司行业分类指引（2012 年修订）》，代码: C38）
1380153.95	6042721.08	12236371.03	9958168.3	软件和信息技术服务业
8870243.23	113139268.8	128071465.2	48503006.97	根据《中国证监会上市公司行业分类指引（2012年修订）》，公司所属行业可归类为：计算机、通信和其他电子设备制造业，行业代码C38
-3828738.13	22207337.68	32691150.59	17534842.43	软件和信息技术服务业
16904993.05	125139048.7	120334147	109223844.1	信息传输、软件和信息技术服务业
2032219.12	36898281.45	34766893.77	21651690.4	信息传输、软件和信息技术服务业
8498773.14	117290643.8	103149485.4	69627756.66	软件和信息技术服务业(165)
909930.83	19641546.94	24759205.64	11127493.91	软件和信息技术服务业
20482484.38	94451954.24	139729678.2	85938015.78	仪器仪表制造业
5163826.12	246778490.1	87324322.87	63608872.84	卫生
11611441.26	190708258.9	160392687.5	72922927.41	E50建筑装饰和其他建筑业
-2435989.17	10656073.57	15229819.25	8427477.19	计算机、通信和其他电子设备制造业
16173006.37	152514855.7	204411520.7	59769877.35	软件和信息技术服务业、信息系统集成服务
-129251645.7	200378285.4	478900937	191880958.4	I64 互联网和相关服务
5394255.4	30725143.11	34025315.87	26595430.57	计算机、通信和其他电子设备制造业
20367660.14	94905341.97	121106676.3	64505620.82	软件和信息技术服务业
5140350.85	35877337.26	75024439.56	28384967.22	节能、环保
1651353.97	22769323.9	21523005.27	11841375.06	软件和信息技术服务
-1706511.39	61422817.19	64497898.52	35400343.27	制造业-计算机通信和其他电子设备制造业
88305.98	17678196.69	10815679.47	5248140.18	电子商务
14279116.8	100861243.8	73203114.98	64538334.45	信息传输、软件和信息技术服务业
678552.72	9030798.53	16518790.03	10598692.83	信息传输、软件和信息技术服务业
199725.84	128143505.9	177236902.6	48676069.14	3713铁路机车车辆配件制造
3687485.08	40267344.87	35470172.18	15963378.67	计算机、通信和其他电子设备制造业
4735107.16	40276515.8	50946053.84	31216275.2	专业技术服务业
4568839.37	46121763.12	41031736.5	32740944.44	制造业（C）中的专用设备制造C35
977044.19	41304450.63	32306094.65	8624874.45	软件和信息技术服务业（I65）
5774933.21	39369748.74	55859634.94	39561011.92	生物医药制造业
1373664.17	15317071.19	17654416.47	10287727.96	仪器仪表制造业
6008957.46	76298776.92	52429957.47	21405068.63	建筑安装业
13931097.41	78042924.73	71541293.77	31611946.23	软件和信息技术服务业
10881562.45	70201010.66	224057774.5	174007503.9	信息传输、软件和信息技术服务业
49650701.79	149682771.2	221830766.8		根据中国证监会《上市公司行业分类指引（2012年修订）》的规定，公司所属行业为广播、电视、电影和影视录音制作业，R86。
18035574.28	55180905.13	166368198.9	102859933.9	医药制造业
1755639.19	11403243.1	43366882.34	21451734.47	工程技术服务
1415657.29	12253118.17	11235140.48	9509903.13	软件和信息技术服务业（I65）
6135942.05	40172523.32	63037357.14	34917078.66	软件和信息技术服务业
11991849.13	134015827.3	187556272.8	124258968.4	电机制造业
1762587.56	67523698.3	144483494	51614568.81	专用设备制造业
26841544.37	108141155.7	331396527.1	254203333.2	根据《上市公司行业分类指引》（2012年修订）和《国民经济行业分类》（GB/T 4754-2011）的规定，公司属于广播、电视、电影和影视录音制作业，行业代码R86。
2350011.59	25043155.17	17727391.8	14366631.98	电子信息技术
79849.07	20151619.72	35103887.66	27125352.55	信息传输、软件和信息技术服务业
31744735.69	260248024.2	499317482.1	244946541.8	医药制造业
15544519.33	155206870.4	310209735.7	160176381.7	农业
18308668.84	65412355.03	67947723.53	58939941.95	I65 软件和信息技术服务业
19555114.67	169531002.2	207257878.2	127058626.6	化学原料和化学制品制造业（C26）
15873433.38	54431090.79	87516142.88	39906426.64	软件和信息技术服务业
10108694.74	28271580.64	52622033.18	39380626.51	软件和信息技术服务业
4023569.88	30321811.11	21694424.17	17160210.97	I65 软件和信息技术服务业
34734398.93	854525217	458324402	126571549.7	建筑装饰和其他建筑业
3034065.26	733163551.9	490579853.9	135005561.9	物流服务业
4391661.11	205957038.9	187828506.4	91887448.74	C39计算机、通信和其他电子设备制造业
5421253.69	49192132.97	57765654.58	37441939.17	软件和信息技术服务业
2070176.87	12294482.8	19574938.84	12512027.4	科技推广和应用服务业（M75）
6381882.44	96825745.93	37092174.36	17755214.89	专用设备制造业
23568780.54	305220900.6	243991510.8	112155378.8	计算机、通信和其他电子设备制造业
41890376.39	155586454.1	672843679.5	439449278.9	"农业（根据《上市公司行业分类指引》（2012）），行业代码A01；农业-其他园艺作物种植（根据《国民经济行业分类》（GB/T4754-2011））,行业代码0149"
4082346.04	61966585.72	34329404.33	12931225.01	C24文教、工美、体育和娱乐用品制造业
10870354.29	50280898.32	62782235.68	39406957.91	专业技术服务业（分类代码M74）
-9378222.83	114842383.4	377412140.2	112316354	电气机械和器材制造业（代码C38）
10197605.3	180120721.1	146424395.3	105095441.4	仪器仪表制造业
5239121.53	12377597.52	31293657.97	29351396.71	C41 其他制造业
4408213.17	49088343	34660019.49	16139211.14	C26 化学原料与化学制品制造业（《上市公司行业分类指引》）
393297.48	50941200.02	36334071.54	16851965.21	根据中国证监会发布的《上市公司行业分类指引（2012年修订）》，公司所属行业为专业技术服务业（N74）。
16890419.53	89705255.27	137416954.6	83552373.8	仪器仪表制造业
3097597.73	37855067.31	33127661.37	28832512.06	C26
